PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123305	1474830771452	1474830771802	SHIFT	16
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123304	1474830771672	1474830771786	T	84
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123306	1474830771880	1474830771940	h	72
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123307	1474830771940	1474830772056	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123308	1474830772006	1474830772119	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123309	1474830772166	1474830772288	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123323	1474830772256	1474830772347	l	76
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123325	1474830772390	1474830772519	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123328	1474830772628	1474830772739	c	67
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123329	1474830772864	1474830772972	t	84
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123330	1474830772972	1474830773075	i	73
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123338	1474830773041	1474830773146	o	79
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123341	1474830773177	1474830773304	n	78
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123343	1474830773257	1474830773370	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123346	1474830773370	1474830773471	w	87
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123348	1474830773471	1474830773557	i	73
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123350	1474830773604	1474830773674	l	76
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123354	1474830773746	1474830773859	l	76
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123355	1474830773809	1474830774000	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123356	1474830773984	1474830774057	b	66
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123357	1474830774103	1474830774177	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123400	1474830774152	1474830774243	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123402	1474830774458	1474830774572	c	67
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123404	1474830775138	1474830775295	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123408	1474830775519	1474830775625	BKSP	8
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123411	1474830775672	1474830775778	l	76
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123414	1474830775743	1474830775839	e	69
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123415	1474830775809	1474830775914	a	65
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123416	1474830775945	1474830776056	n	78
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123417	1474830776025	1474830776140	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123418	1474830776140	1474830776272	a	65
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123419	1474830776242	1474830776311	n	78
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123421	1474830776448	1474830776541	d	68
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123434	1474830776602	1474830776708	 	32
217466	2359857	The election will be clean and pure.	The election will be clean and pure	112123436	1474830776880	1474830777084	p	80
